919077,0.33,0.01,-0.86
919087,0.43,0.01,-0.73
919097,0.51,0.01,-0.14
919107,0.58,0.01,-0.30
919117,0.64,0.01,-0.86
919127,0.69,0.01,-0.79
919137,0.73,0.01,-0.77
919147,0.76,0.02,-0.76
919157,0.79,0.02,-0.76
919167,0.81,0.02,-0.77
919177,0.83,0.02,-0.78
919187,0.85,0.02,-0.79
919197,0.86,0.02,-0.80
919207,0.88,0.02,-0.81
919217,0.89,0.03,-0.81
919227,0.90,0.03,-0.82
919237,0.91,0.03,-0.83
919247,0.92,0.03,-0.66
919257,0.93,0.03,-0.72
919267,0.94,0.03,-0.77
919277,0.95,0.03,-0.96
919287,0.95,0.03,-0.94
919297,0.96,0.03,-0.93
919307,0.96,0.03,-0.93
919317,0.96,0.03,-0.92
919327,0.96,0.03,-0.92
919337,0.96,0.03,-0.92
919347,0.96,0.03,-0.92
919357,0.96,0.04,-0.92
919527,0.92,0.05,-0.86
919567,0.98,0.06,-0.88
919747,1.00,0.07,-0.94
919817,1.00,0.08,-0.94
919827,0.99,0.08,-0.93
919897,0.99,0.08,-0.90
919957,1.00,0.09,-0.93
920037,0.96,0.09,-0.93
920067,0.99,0.10,-0.93
920247,0.96,0.11,-0.92
920297,1.00,0.11,-0.98
920407,1.01,0.12,-0.90
920477,1.01,0.13,-0.85
920487,1.01,0.13,-0.86
920557,1.01,0.13,-0.89
920577,1.01,0.13,-0.94
920587,1.01,0.13,-0.93
920677,1.01,0.14,-0.91
920737,1.00,0.14,-0.90
920777,1.00,0.15,-0.89
920877,1.00,0.15,-0.91
920887,1.00,0.15,-0.91
920897,1.00,0.15,-0.91
920907,1.00,0.15,-0.91
920917,1.00,0.15,-0.91
921007,1.06,0.16,-0.99
921057,0.98,0.16,-0.88
921087,1.00,0.16,-0.90
921097,1.00,0.16,-0.91
921287,0.98,0.18,-0.87
921297,0.99,0.18,-0.88
921327,0.99,0.18,-0.88
921387,0.99,0.19,-0.87
921467,0.98,0.19,-0.86
921497,0.98,0.19,-0.86
921547,0.98,0.20,-0.92
921607,0.98,0.20,-0.85
921627,0.98,0.20,-0.85
921677,0.97,0.20,-0.85
921687,0.97,0.20,-0.85
921717,1.02,0.20,-0.82
921787,1.04,0.21,-0.89
921977,0.97,0.22,-0.87
921997,0.97,0.23,-0.87
922057,0.96,0.23,-0.86
922407,0.98,0.25,-0.86
922467,0.98,0.25,-0.87
922557,0.99,0.26,-0.95
922567,0.99,0.26,-0.94
922677,0.99,0.27,-0.93
922707,0.99,0.27,-0.88
922837,0.98,0.28,-0.92
922897,0.99,0.28,-0.85
922907,0.99,0.28,-0.87
922977,0.97,0.29,-0.93
923017,0.98,0.29,-0.93
923197,0.99,0.30,-0.85
923307,0.99,0.31,-0.90
923407,1.00,0.31,-0.96
923447,1.00,0.32,-0.96
923457,1.00,0.32,-0.96
923467,1.00,0.32,-0.96
923527,1.02,0.32,-1.00
923577,1.00,0.33,-0.92
923607,0.95,0.33,-0.99
923657,0.99,0.33,-0.97
923667,0.99,0.33,-0.97
923777,0.96,0.34,-0.96
923787,0.97,0.34,-0.96
923817,0.98,0.34,-1.02
923927,1.00,0.35,-0.91
923957,1.00,0.35,-0.94
924147,1.01,0.36,-0.96
924267,1.00,0.37,-0.93
924297,1.00,0.37,-0.93
924367,0.99,0.37,-0.92
924417,0.98,0.37,-0.92
924457,0.99,0.37,-0.96
924487,0.99,0.37,-0.90
924587,0.98,0.38,-0.90
924647,1.00,0.38,-0.80
924677,0.94,0.39,-0.92
924687,0.95,0.39,-0.92
924737,0.97,0.39,-0.91
925077,0.97,0.41,-0.95
925207,0.99,0.42,-0.90
925237,0.92,0.42,-0.92
925367,0.97,0.42,-0.96
925427,0.96,0.42,-0.95
925487,0.96,0.43,-0.94
925557,0.96,0.43,-0.96
925877,1.02,0.44,-0.96
926097,0.95,0.45,-0.92
926137,0.95,0.45,-0.92
926157,0.95,0.45,-0.91
926217,0.92,0.46,-0.89
926297,0.95,0.46,-0.91
926337,0.95,0.46,-0.94
926537,0.97,0.47,-0.93
926597,0.97,0.47,-0.93
926627,0.97,0.47,-0.92
926667,0.94,0.47,-0.92
926697,0.96,0.48,-0.93
926707,0.97,0.48,-0.93
926807,1.01,0.48,-0.96
926837,0.97,0.48,-0.91
926947,0.98,0.49,-0.91
926967,0.98,0.49,-0.97
927027,0.98,0.49,-0.93
927037,0.98,0.49,-0.93
927097,0.98,0.49,-0.90
927217,0.97,0.50,-0.90
927227,0.97,0.50,-0.90
927357,0.97,0.50,-0.92
927367,0.97,0.50,-0.91
927407,0.99,0.50,-0.84
927417,0.99,0.50,-0.86
927447,0.99,0.50,-0.90
927457,1.00,0.50,-0.91
927537,0.99,0.51,-0.90
927597,0.99,0.51,-0.90
927647,0.99,0.51,-0.83
927687,0.99,0.51,-0.95
927777,1.05,0.52,-0.96
927857,0.96,0.52,-0.92
928067,0.98,0.53,-0.91
928157,0.93,0.53,-0.89
928167,0.95,0.53,-0.90
928297,0.98,0.54,-0.98
928347,0.98,0.54,-0.95
928417,0.99,0.54,-0.89
928447,1.00,0.54,-0.92
928497,1.00,0.54,-0.97
928507,1.00,0.55,-0.97
928537,1.00,0.55,-0.96
928577,0.99,0.55,-0.95
928627,0.99,0.55,-0.93
928827,1.00,0.56,-0.95
928937,0.97,0.56,-0.93
929067,0.99,0.57,-0.92
929137,0.95,0.57,-0.88
929177,0.98,0.57,-0.91
929217,0.99,0.57,-0.89
929297,1.00,0.58,-0.96
929327,0.99,0.58,-0.96
929367,1.03,0.58,-0.92
929377,1.02,0.58,-0.87
929397,0.95,0.58,-0.90
929407,0.96,0.58,-0.92
929527,1.01,0.58,-0.92
929717,0.95,0.58,-0.91
929827,0.83,0.61,-0.60
929937,0.70,0.79,-0.58
929977,0.79,0.86,-0.03
930107,-3.37,2.66,-2.87
930137,-3.18,1.43,-1.03
930147,-3.13,1.52,-0.82
930217,-2.14,2.68,-1.56
930227,-1.81,2.50,-1.33
930357,2.76,3.51,-0.47
930627,0.10,3.85,-0.36
930817,-1.09,3.59,-1.15
930887,-1.21,3.23,-0.23
930947,-0.45,2.97,0.27
931067,-0.06,3.08,-0.36
931147,0.51,3.13,-0.27
931237,0.92,3.24,-0.14
931327,1.39,3.08,-0.51
931397,-0.42,3.35,0.33
931447,-0.38,3.44,0.21
931487,-1.15,3.48,0.16
931497,-0.88,3.38,0.56
931627,-0.57,3.23,-0.26
931787,0.45,2.99,-0.92
931807,0.53,2.96,-0.90
931907,1.01,2.85,-0.68
931967,0.99,2.81,-0.43
931977,0.96,2.81,-0.44
931997,0.95,2.79,-0.39
932107,0.62,2.73,-0.18
932137,0.44,2.71,-0.10
932177,0.30,2.70,-0.01
932187,0.20,2.71,0.01
932237,-0.20,2.70,0.08
932257,-0.17,2.69,0.11
932267,-0.16,2.70,0.09
932277,-0.17,2.71,0.10
932327,-0.73,2.74,0.02
932397,-0.63,2.66,0.10
933517,0.10,1.56,-0.00
933527,0.11,1.60,-0.01
933567,0.14,1.76,0.03
933647,0.01,1.95,-0.02
933677,0.01,2.01,0.06
933847,-0.29,2.31,0.15
933947,-0.30,2.36,0.19
934077,0.00,2.43,0.06
934167,-0.01,2.52,0.00
934267,0.06,2.60,-0.10
934277,0.06,2.60,-0.15
934287,0.07,2.61,-0.20
934387,0.00,2.61,-0.20
934407,0.04,2.60,-0.30
934427,0.09,2.58,-0.30
934477,-0.05,2.54,-0.10
934497,-0.06,2.53,-0.17
934827,-0.02,2.19,0.12
935177,-0.21,1.98,0.09
935237,-0.00,1.87,0.16
935287,-0.11,1.74,0.13
935387,-0.06,2.08,0.16
935517,-0.10,5.97,-0.13
935527,-0.18,6.38,-0.17
935537,-0.26,6.81,-0.17
935547,-0.35,7.25,-0.13
935587,0.39,9.08,0.12
935607,0.50,10.05,-0.07
935627,0.52,11.05,-0.08
935637,0.47,11.56,0.06
935677,0.19,13.65,0.37
935727,0.60,16.37,0.07
935747,0.68,17.49,-0.04
935767,0.65,18.58,-0.01
935877,0.68,20.95,-0.71
935917,0.52,20.64,-0.62
935987,0.01,19.25,-0.42
935997,-0.13,18.96,-0.30
936087,-0.79,15.62,0.21
936097,-0.75,15.21,0.17
936187,-0.78,10.75,0.95
936327,-0.70,2.58,2.03
936337,-0.56,2.02,1.47
936437,0.75,-4.21,-0.24
936457,0.86,-5.47,-0.78
936467,0.75,-6.08,-1.14
